Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
751,India,19,West Bengal,309,Darjeeling,2011,Urban,146438.8353,16556.28888,1322.997903,3735.290488,16714.73175,1983.506587,2971.793943,5495.9868,71532.00116,25822.22555,304.0122428
752,India,19,West Bengal,310,Dinajpur Dakshin,2011,Rural,338680,41465,1907,239955,132,498,522,16175,33038,3723,1265
753,India,19,West Bengal,310,Dinajpur Dakshin,2011,Urban,57541,7972,544,5646,110,365,562,6964,32340,2853,185
754,India,19,West Bengal,311,Dinajpur Uttar,2011,Rural,529416,253797,4808,135066,287,1688,2872,16018,108442,5906,532
755,India,19,West Bengal,311,Dinajpur Uttar,2011,Urban,68756,19976,2293,2866,202,348,998,3866,36427,1626,154
756,India,19,West Bengal,312,Hooghly,2011,Rural,777112.4407,61557.33057,3253.854577,321150.9484,567.8001228,3521.760269,2576.093163,999.6481036,353447.5793,28698.89741,1338.528811
757,India,19,West Bengal,312,Hooghly,2011,Urban,492052,22207,1904,28166,588,4310,3996,859,402727,26189,1106
758,India,19,West Bengal,313,Howrah,2011,Rural,388459,35367,2280,87637,290,1710,1063,105,242879,16929,199
759,India,19,West Bengal,313,Howrah,2011,Urban,640655,23649,2970,52281,1183,5305,6961,800,487460,58563,1483
760,India,19,West Bengal,314,Jalpaiguri,2011,Rural,356467.8474,209221.0108,4818.73249,5007.758719,17097.39376,3046.252493,5520.829914,33697.80365,65654.15289,10752.66228,1651.250408
761,India,19,West Bengal,314,Jalpaiguri,2011,Urban,172297.4254,47159.79644,1761.806938,1334.225547,5479.190978,2009.918549,6064.07656,12698.0233,84344.36212,11147.14698,298.8779628
762,India,19,West Bengal,315,Kolkata,2011,Rural,0,0,0,0,0,0,0,0,0,0,0
763,India,19,West Bengal,315,Kolkata,2011,Urban,964183,26543,4714,17578,2169,12505,17197,3360,779870,97439,2808
764,India,19,West Bengal,316,Maldah,2011,Rural,729770,160515,3551,283791,738,1506,1215,10287,260775,6524,868
765,India,19,West Bengal,316,Maldah,2011,Urban,109168,10542,436,11972,90,550,594,764,79900,4029,291
766,India,19,West Bengal,317,Medinipur East,2011,Rural,978844,203124,6977,389953,1097,2951,2422,862,348597,21583,1278
767,India,19,West Bengal,317,Medinipur East,2011,Urban,120701,10976,940,24162,88,603,373,115,78295,4981,168
768,India,19,West Bengal,318,Medinipur West,2011,Rural,877500.0284,204094.8421,3403.017408,521928.6013,644.540829,1856.910266,2007.962166,995.6771825,129097.1784,13116.99901,354.2997441
769,India,19,West Bengal,318,Medinipur West,2011,Urban,151490.7903,8841.427133,668.6626894,38412.38972,160.7171449,1075.415957,2209.364702,179.5666866,93295.31055,6580.474212,67.46151762
770,India,19,West Bengal,319,Murshidabad,2011,Rural,1282692,279011,6400,407345,928,3746,3634,1397,555314,20765,4152
771,India,19,West Bengal,319,Murshidabad,2011,Urban,279200,20383,950,28884,271,1034,1132,389,214920,10836,401
772,India,19,West Bengal,320,Nadia,2011,Rural,880207.5593,347651.6694,5936.145423,96118.05165,1828.199877,2877.239731,3411.906837,39549.3519,349573.4207,21417.10259,11844.47119
773,India,19,West Bengal,320,Nadia,2011,Urban,351922,57932,1786,17155,580,1820,1679,17672,235797,15330,2171
774,India,19,West Bengal,321,Purulia,2011,Rural,496403,12367,780,354799,428,2138,2998,150,115326,7192,225
775,India,19,West Bengal,321,Purulia,2011,Urban,72851,717,92,23445,41,521,245,86,41868,5777,59
776,India,19,West Bengal,664,Alipurduar,2011,Rural,263964.1526,154927.9892,3568.26751,3708.241281,12660.60624,2255.747507,4088.170086,24953.19635,48616.84711,7962.33772,1222.749592
777,India,19,West Bengal,664,Alipurduar,2011,Urban,68671.57461,18796.20356,702.1930616,531.7744533,2183.809022,801.0814513,2416.92344,5060.976696,33616.63788,4442.853015,119.1220372
778,India,19,West Bengal,702,Kalimpong,2011,Rural,39305.19476,11561.95912,453.0616577,3126.997355,9860.37892,720.5055303,1084.866368,1333.362806,9211.135863,1860.872789,92.05434865
912,India,22,Chhattisgarh,384,Korea,2011,Rural,107424,240,190,100704,37,101,80,22,5845,67,138
779,India,19,West Bengal,702,Kalimpong,2011,Urban,1439.164695,162.7111169,13.00209654,36.7095121,164.2682542,19.49341271,29.20605668,54.01320047,702.9988353,253.7744532,2.987757215
780,India,19,West Bengal,703,Jhargram,2011,Rural,232068.9716,53976.15792,899.9825921,138032.3987,170.459171,491.0897342,531.0378344,263.3228175,34141.8216,3469.000993,93.70025593
781,India,19,West Bengal,703,Jhargram,2011,Urban,1209.209689,70.57286673,5.337310612,306.6102813,1.282855073,8.584042587,17.63529782,1.433313384,744.689451,52.52578826,0.538482376
782,India,19,West Bengal,704,Paschim Bardhaman,2011,Rural,112399.3065,12785.98009,332.7960555,61622.71867,79.52885743,446.3332689,428.1673148,661.8955505,32507.44688,3333.875051,200.5648078
783,India,19,West Bengal,704,Paschim Bardhaman,2011,Urban,369894.8665,12386.35598,969.6127598,67936.91878,365.1189036,3235.311106,5738.077177,2670.040134,243197.4534,32488.08393,907.8943986
784,India,20,Jharkhand,322,Bokaro,2011,Rural,204021,2778,259,104630,58,1594,1322,36,90826,2330,188
785,India,20,Jharkhand,322,Bokaro,2011,Urban,187417,831,215,35663,77,1515,2525,173,142277,3921,220
786,India,20,Jharkhand,323,Chatra,2011,Rural,170239,1098,146,126522,34,443,418,24,41043,453,58
787,India,20,Jharkhand,323,Chatra,2011,Urban,10673,89,5,3298,2,21,53,30,7056,119,0
788,India,20,Jharkhand,324,Deoghar,2011,Rural,214896,3155,485,146170,146,811,1075,62,61901,929,162
789,India,20,Jharkhand,324,Deoghar,2011,Urban,45420,541,54,9207,16,367,790,25,33713,650,57
790,India,20,Jharkhand,325,Dhanbad,2011,Rural,207157,2195,443,101426,238,1741,2219,132,96958,1468,337
791,India,20,Jharkhand,325,Dhanbad,2011,Urban,292022,1696,438,62768,398,4471,6464,216,209010,5923,638
792,India,20,Jharkhand,326,Dumka,2011,Rural,255926,5641,622,203375,339,631,735,97,43650,723,113
793,India,20,Jharkhand,326,Dumka,2011,Urban,16999,154,20,5102,6,37,173,4,11075,427,1
794,India,20,Jharkhand,327,East Singhbum,2011,Rural,215676,6421,310,159016,345,1521,1269,56,45366,1321,51
795,India,20,Jharkhand,327,East Singhbum,2011,Urban,254026,2204,739,38147,363,2586,7306,239,196392,5856,194
796,India,20,Jharkhand,328,Garhwa,2011,Rural,241497,1163,169,207094,41,452,848,40,31489,170,31
797,India,20,Jharkhand,328,Garhwa,2011,Urban,13213,107,8,5761,3,70,162,1,7069,27,5
798,India,20,Jharkhand,329,Giridih,2011,Rural,356247,2145,638,213195,129,1710,1494,76,134347,2239,274
799,India,20,Jharkhand,329,Giridih,2011,Urban,35201,319,50,6993,24,271,577,52,26656,234,25
800,India,20,Jharkhand,330,Godda,2011,Rural,239500,15437,822,130196,1231,902,656,73,88734,1200,249
801,India,20,Jharkhand,330,Godda,2011,Urban,11518,146,23,1846,8,62,28,1,9289,80,35
802,India,20,Jharkhand,331,Gumla,2011,Rural,176770,898,224,162863,60,1429,1641,58,9426,135,36
803,India,20,Jharkhand,331,Gumla,2011,Urban,12079,53,12,4131,5,94,100,10,7579,93,2
804,India,20,Jharkhand,332,Hazaribagh,2011,Rural,252871,1135,284,132479,136,1564,1297,73,113941,1867,95
805,India,20,Jharkhand,332,Hazaribagh,2011,Urban,48356,177,38,6556,21,450,860,31,39273,921,29
806,India,20,Jharkhand,333,Jamtara,2011,Rural,135540,2037,251,100999,76,529,515,49,30428,626,30
807,India,20,Jharkhand,333,Jamtara,2011,Urban,14563,77,9,3494,4,26,36,5,10815,91,6
808,India,20,Jharkhand,334,Koderma,2011,Rural,90207,1044,85,48149,70,517,430,11,39424,456,21
809,India,20,Jharkhand,334,Koderma,2011,Urban,23853,39,31,5301,9,114,438,6,17556,355,4
810,India,20,Jharkhand,335,Latehar,2011,Rural,122902,1005,243,109295,26,117,297,51,11696,118,54
811,India,20,Jharkhand,335,Latehar,2011,Urban,9783,51,7,4056,2,106,113,5,5297,138,8
812,India,20,Jharkhand,336,Lohardaga,2011,Rural,80295,347,65,71929,15,72,117,6,7713,26,5
813,India,20,Jharkhand,336,Lohardaga,2011,Urban,11007,97,10,3406,5,41,123,2,7273,47,3
814,India,20,Jharkhand,337,Pakur,2011,Rural,167362,6954,680,125187,370,372,429,80,33015,142,133
815,India,20,Jharkhand,337,Pakur,2011,Urban,13216,222,28,5051,16,78,103,3,7509,189,17
816,India,20,Jharkhand,338,Palamu,2011,Rural,316135,3484,1792,248946,200,1333,812,727,57669,531,641
817,India,20,Jharkhand,338,Palamu,2011,Urban,39380,454,108,13263,37,319,818,36,23708,491,146
818,India,20,Jharkhand,339,Ranchi,2011,Rural,322679,3704,539,233113,489,5738,6168,158,71063,1555,152
819,India,20,Jharkhand,339,Ranchi,2011,Urban,234110,1815,580,43910,202,2894,7995,409,166890,9268,147
820,India,20,Jharkhand,340,Sahebganj,2011,Rural,193809,33130,711,107791,1228,631,1287,620,47917,312,182
821,India,20,Jharkhand,340,Sahebganj,2011,Urban,30708,2652,46,7374,178,282,404,18,19503,219,32
822,India,20,Jharkhand,341,Saraikela Kharsawan,2011,Rural,165883,2836,297,126250,263,5995,3351,63,25791,1006,31
823,India,20,Jharkhand,341,Saraikela Kharsawan,2011,Urban,52111,595,145,13665,73,449,1153,45,34756,1189,41
824,India,20,Jharkhand,342,Simdega,2011,Rural,108683,418,330,92443,104,2961,2231,135,9922,81,58
825,India,20,Jharkhand,342,Simdega,2011,Urban,7923,64,39,3688,7,100,48,9,3871,90,7
826,India,20,Jharkhand,343,West Singhbhum,2011,Rural,256019,2247,362,222020,2279,9043,6570,141,13055,269,33
827,India,20,Jharkhand,343,West Singhbhum,2011,Urban,43864,211,91,14147,405,772,970,163,26350,720,35
828,India,20,Jharkhand,606,Khunti,2011,Rural,93762,1019,132,80815,209,2667,3165,38,5596,110,11
829,India,20,Jharkhand,606,Khunti,2011,Urban,8892,61,13,3533,36,541,279,2,4352,67,8
830,India,20,Jharkhand,607,Ramgarh,2011,Rural,97889,872,136,45642,54,731,614,95,48959,754,32
831,India,20,Jharkhand,607,Ramgarh,2011,Urban,79308,386,90,14975,44,830,1526,64,60077,1259,57
832,India,21,Odisha,344,Anugul,2011,Rural,249585,15869,565,106734,2625,4781,4477,197,111972,1930,435
833,India,21,Odisha,344,Anugul,2011,Urban,46337,1679,116,7968,103,282,1616,46,33354,1073,100
834,India,21,Odisha,345,Balangir,2011,Rural,387575.4807,17191.24037,1028.470696,200751.1345,1127.061121,3891.277313,3739.899126,272.1536298,146098.6684,13101.23884,374.3366782
835,India,21,Odisha,345,Balangir,2011,Urban,44736,818,102,12199,24,733,1526,38,21970,7131,195
836,India,21,Odisha,346,Baleshwar,2011,Rural,473512,65636,2438,290035,362,2050,4187,486,103375,4179,764
837,India,21,Odisha,346,Baleshwar,2011,Urban,55895,2937,391,19031,31,468,756,68,30768,1395,50
838,India,21,Odisha,347,Bargarh,2011,Rural,339364,10566,583,206507,294,2593,2614,106,102624,13372,105
839,India,21,Odisha,347,Bargarh,2011,Urban,34027,264,65,10635,8,351,779,36,17791,4071,27
840,India,21,Odisha,348,Bhadrak,2011,Rural,274191,25079,675,184206,65,990,1840,108,59466,1658,104
841,India,21,Odisha,348,Bhadrak,2011,Urban,35336,2907,85,15180,11,350,333,17,16031,404,18
842,India,21,Odisha,349,Boudh,2011,Rural,103239,8700,127,69185,3639,1003,544,15,19377,577,72
843,India,21,Odisha,349,Boudh,2011,Urban,4488,320,2,1453,11,14,4,4,2571,109,0
844,India,21,Odisha,350,Cuttack,2011,Rural,425171.8812,34515.47129,794.1552281,133095.9642,1114.315463,12692.22156,67018.289,231.0765348,173097.7989,2168.46898,444.1199718
845,India,21,Odisha,350,Cuttack,2011,Urban,141749,2877,555,11220,173,2547,21853,203,96223,5939,159
846,India,21,Odisha,351,Deogarh,2011,Rural,70280.51927,6781.759628,143.5293043,26874.8655,3067.938879,3743.722687,579.1008736,46.84637015,28562.33155,377.761155,102.6633218
847,India,21,Odisha,351,Deogarh,2011,Urban,5431,265,14,1538,27,38,7,3,3387,145,7
848,India,21,Odisha,352,Dhenkanal,2011,Rural,253579.1723,16285.15737,289.2339696,124529.8946,1466.05467,8582.627496,69483.55553,309.1116168,31100.60714,1202.691844,330.2380576
849,India,21,Odisha,352,Dhenkanal,2011,Urban,25252,885,40,4892,52,482,12348,9,6344,164,36
850,India,21,Odisha,353,Gajapati,2011,Rural,112872,9296,353,40919,13318,8962,1832,118,37335,577,162
851,India,21,Odisha,353,Gajapati,2011,Urban,15946,955,34,2873,242,259,352,19,10956,234,22
852,India,21,Odisha,354,Ganjam,2011,Rural,602216,45832,905,114320,16688,5944,6052,693,403518,7685,579
853,India,21,Odisha,354,Ganjam,2011,Urban,154678,5003,195,15717,408,1230,1039,156,126083,4688,159
854,India,21,Odisha,355,Jagatsinghapur,2011,Rural,237411,9301,574,79767,137,1121,1477,142,141496,2697,699
855,India,21,Odisha,355,Jagatsinghapur,2011,Urban,28177,2737,330,6038,49,206,262,272,17082,704,497
856,India,21,Odisha,356,Jajapur,2011,Rural,378091.0593,38873.48223,885.8970434,158436.5869,424.9506134,5711.336244,57445.32386,175.9795481,113460.8139,2159.749,516.9399226
857,India,21,Odisha,356,Jajapur,2011,Urban,29437,1737,96,6801,36,397,4182,17,15967,172,32
858,India,21,Odisha,357,Jharsuguda,2011,Rural,83664,931,146,57224,55,1649,487,48,21756,1330,38
859,India,21,Odisha,357,Jharsuguda,2011,Urban,50960,434,130,16189,38,667,1107,40,28111,4212,32
860,India,21,Odisha,358,Kalahandi,2011,Rural,377001,27848,1008,159490,3857,2181,2795,204,173682,5706,230
861,India,21,Odisha,358,Kalahandi,2011,Urban,27813,1659,86,7929,87,292,568,8,15792,1355,37
862,India,21,Odisha,359,Kandhamal,2011,Rural,155335,8567,853,64705,29839,1311,956,140,47773,801,390
863,India,21,Odisha,359,Kandhamal,2011,Urban,16669,614,26,4148,656,237,577,10,10279,102,20
864,India,21,Odisha,360,Kendrapara,2011,Rural,310957.8872,9265.889109,788.7137589,185457.5542,196.6792538,726.8147044,1942.831614,102.8323002,111122.78,1171.090176,182.7020479
865,India,21,Odisha,360,Kendrapara,2011,Urban,15940,432,16,5188,4,21,54,3,10002,211,9
866,India,21,Odisha,361,Kendujhar,2011,Rural,349736,10820,566,246256,1908,2765,10882,405,74296,1687,151
867,India,21,Odisha,361,Kendujhar,2011,Urban,56893,987,222,19267,239,526,1974,498,31776,1349,55
868,India,21,Odisha,362,Khordha,2011,Rural,248321.5911,15392.68396,422.8859599,100363.9718,362.3683474,13566.91675,80714.73121,144.3719587,34815.77209,2247.537505,290.3514949
869,India,21,Odisha,362,Khordha,2011,Urban,241696,5395,1050,32310,297,5359,56808,692,130753,8613,419
870,India,21,Odisha,363,Koraput,2011,Rural,283522,10664,430,189327,695,4392,3777,722,72197,1086,232
872,India,21,Odisha,364,Malkangiri,2011,Rural,126633.1718,17849.85959,264.7056869,81926.60672,1244.892275,827.7077102,1283.990943,61.10969227,22497.07411,512.0605537,165.1645384
873,India,21,Odisha,364,Malkangiri,2011,Urban,11144,1555,47,3432,50,113,685,72,5104,74,12
874,India,21,Odisha,365,Mayurbhanj,2011,Rural,544764,31911,1422,420979,4975,4079,2492,312,75811,2231,552
875,India,21,Odisha,365,Mayurbhanj,2011,Urban,42884,2426,171,11676,20,287,582,34,25977,1688,23
876,India,21,Odisha,366,Nabarangpur,2011,Rural,253461,8642,1170,187553,4172,2325,2432,715,45504,761,187
877,India,21,Odisha,366,Nabarangpur,2011,Urban,20202,1091,88,6979,25,406,747,77,10313,440,36
878,India,21,Odisha,367,Nayagarh,2011,Rural,213265,23716,447,79668,3806,7003,24115,160,72814,1219,317
879,India,21,Odisha,367,Nayagarh,2011,Urban,17703,333,43,3954,73,432,3728,15,8902,195,28
880,India,21,Odisha,368,Nuapada,2011,Rural,151921,3388,235,89727,800,786,837,16,54041,1928,163
881,India,21,Odisha,368,Nuapada,2011,Urban,8026,125,16,3233,6,128,108,2,4369,34,5
882,India,21,Odisha,369,Puri,2011,Rural,316620.4089,29608.31604,735.1140401,121948.0282,305.6316526,5739.083254,46242.26879,308.6280413,109336.2279,2105.462495,291.6485051
883,India,21,Odisha,369,Puri,2011,Urban,52480,2774,96,4902,42,803,6571,114,34821,2300,57
884,India,21,Odisha,370,Rayagada,2011,Rural,191615,14254,685,107590,7559,1538,1535,170,57483,682,119
885,India,21,Odisha,370,Rayagada,2011,Urban,34349,1870,88,6195,434,299,782,90,22773,1767,51
886,India,21,Odisha,371,Sambalpur,2011,Rural,178630.8282,7021.140409,385.2943131,102976.3933,2671.107725,4208.29229,1633.009057,59.89030773,55184.92589,4400.939446,89.83546159
887,India,21,Odisha,371,Sambalpur,2011,Urban,69871,1151,142,18403,1134,1231,1479,154,37769,8241,167
888,India,21,Odisha,372,Sonepur,2011,Rural,140714,6606,298,89448,1300,1981,2171,49,35322,3417,122
889,India,21,Odisha,372,Sonepur,2011,Urban,11740,612,20,4215,12,126,135,6,5668,943,3
890,India,21,Odisha,373,Sundargarh,2011,Rural,310762,2962,709,211876,1499,11610,1684,516,74704,4978,224
891,India,21,Odisha,373,Sundargarh,2011,Urban,162531,1271,376,32653,611,2524,3835,393,115271,5414,183
892,India,22,Chhattisgarh,374,Bastar,2011,Rural,153011.4729,1850.261278,167.8908737,129822.3393,1097.925542,3071.076016,3829.181199,25.96250624,12902.78866,193.2764354,50.77112332
893,India,22,Chhattisgarh,374,Bastar,2011,Urban,29221.70028,363.1901109,50.57966728,13564.48327,43.55471349,318.932902,522.6565619,20.37236599,14028.13022,285.2131238,24.58733826
894,India,22,Chhattisgarh,375,Bilaspur,2011,Rural,241878.4493,4180.767072,464.1907256,170638.6461,1123.107681,3196.459027,2134.870599,27.45487315,58819.5236,1093.11069,200.3188893
895,India,22,Chhattisgarh,375,Bilaspur,2011,Urban,119764.8293,1219.413151,258.0678147,35435.61636,176.8875419,650.2967119,1320.247595,75.19856853,78884.15291,1398.86428,346.0843211
896,India,22,Chhattisgarh,376,Dantewada,2011,Rural,45853.44818,1621.119105,56.58529636,39430.02432,1820.160366,72.96525057,113.666955,10.42360722,2611.361791,78.42523531,38.71625541
897,India,22,Chhattisgarh,376,Dantewada,2011,Urban,15751.78064,1040.773776,29.05160576,6038.376257,492.4247176,77.7130454,1331.289834,82.79707641,6538.790166,101.6806202,18.88354374
898,India,22,Chhattisgarh,377,Dhamtari,2011,Rural,136570,1018,116,85234,104,429,671,13,48257,676,52
899,India,22,Chhattisgarh,377,Dhamtari,2011,Urban,31708,256,40,9886,271,89,155,3,20552,424,32
900,India,22,Chhattisgarh,378,Durg,2011,Rural,129547.3184,1445.501869,139.798272,87739.35756,155.7401802,2459.652491,1543.912495,18.70108463,35305.19517,667.1075434,72.35173724
901,India,22,Chhattisgarh,378,Durg,2011,Urban,231423.2487,2426.008586,352.5627999,60202.66528,1016.613122,1312.697415,2774.292712,196.8190388,158210.845,4558.500085,372.2447037
902,India,22,Chhattisgarh,379,Janjgir-Champa,2011,Rural,330103,3665,456,212749,340,11019,6543,61,92497,2384,389
903,India,22,Chhattisgarh,379,Janjgir-Champa,2011,Urban,47393,635,74,17277,67,1748,1301,49,25167,978,97
904,India,22,Chhattisgarh,380,Jashpur,2011,Rural,175008,229,337,167506,72,235,111,25,6330,133,30
905,India,22,Chhattisgarh,380,Jashpur,2011,Urban,15519,30,16,9114,1,68,33,10,6146,84,17
906,India,22,Chhattisgarh,381,Kanker,2011,Rural,141247,4899,212,121999,507,149,165,39,13156,96,25
907,India,22,Chhattisgarh,381,Kanker,2011,Urban,16937,274,40,7505,10,62,42,9,8910,79,6
908,India,22,Chhattisgarh,382,Kabirdham,2011,Rural,158483,3423,226,107125,1094,3590,1367,23,40996,491,148
909,India,22,Chhattisgarh,382,Kabirdham,2011,Urban,18275,649,25,7078,156,149,301,3,9778,118,18
914,India,22,Chhattisgarh,385,Mahasamund,2011,Rural,230027,1521,318,156764,194,4176,3797,19,61776,1317,145
915,India,22,Chhattisgarh,385,Mahasamund,2011,Urban,26477,404,78,11145,32,73,70,8,13833,775,59
916,India,22,Chhattisgarh,386,Raigarh,2011,Rural,309691,2280,296,248483,334,10351,3799,40,43380,597,131
917,India,22,Chhattisgarh,386,Raigarh,2011,Urban,51973,580,45,22051,22,450,468,44,27774,410,129
918,India,22,Chhattisgarh,387,Raipur,2011,Rural,182310.3267,2584.197196,322.4974279,110980.9685,616.7682198,15435.75214,8188.64445,45.74661704,42533.97163,1429.500671,172.2798131
919,India,22,Chhattisgarh,387,Raipur,2011,Urban,258059.8763,3295.288091,959.256638,59336.75166,935.1026938,5645.121797,5496.747569,204.4458842,174431.158,7142.666333,613.3376525
920,India,22,Chhattisgarh,388,Rajnandgaon,2011,Rural,256900,2277,369,207167,267,3461,2883,35,39898,393,150
921,India,22,Chhattisgarh,388,Rajnandgaon,2011,Urban,58635,552,149,18622,85,280,323,13,37738,745,128
922,India,22,Chhattisgarh,389,Surguja,2011,Rural,161287.7004,718.4770635,286.0950433,155579.4393,101.6165946,121.3943211,76.72393891,21.48270289,4301.655508,45.35237278,35.46350954
923,India,22,Chhattisgarh,389,Surguja,2011,Urban,26287.05377,322.6829091,27.07442217,11399.43681,9.945706103,185.1006414,505.0208543,18.78633375,13578.65153,176.8125529,63.54201121
924,India,22,Chhattisgarh,636,Bijapur,2011,Rural,44544,4338,265,30663,7459,52,53,23,1633,19,39
925,India,22,Chhattisgarh,636,Bijapur,2011,Urban,5858,85,11,4123,141,19,1,3,1466,5,4
926,India,22,Chhattisgarh,637,Narayanpur,2011,Rural,22516,2556,149,18818,253,30,6,1,689,5,9
927,India,22,Chhattisgarh,637,Narayanpur,2011,Urban,4437,44,10,3046,3,11,3,0,1305,10,5
928,India,22,Chhattisgarh,642,Sukma,2011,Rural,51255.19507,1702.07318,62.60427487,44020.83393,1880.776933,168.9628858,233.694503,11.37890379,3048.46835,85.54901336,40.85309947
929,India,22,Chhattisgarh,642,Sukma,2011,Urban,5936.219358,392.2262237,10.94839424,2275.623743,185.5752824,29.2869546,501.7101661,31.20292359,2464.209834,38.31937984,7.116456257
930,India,22,Chhattisgarh,643,Kondagaon,2011,Rural,107468.8838,1299.546437,117.9195551,91181.80247,771.137159,2156.995847,2689.457343,18.23498274,9062.3812,135.749316,35.6595218
931,India,22,Chhattisgarh,643,Kondagaon,2011,Urban,12375.29972,153.8098891,21.42033272,5744.516728,18.44528651,135.067098,221.3434381,8.627634011,5940.869778,120.7868762,10.41266174
932,India,22,Chhattisgarh,644,Baloda Bazar,2011,Rural,239614.6777,3396.470127,423.8658262,145864.853,810.632732,20287.56594,10762.52474,60.12583652,55903.38238,1878.825785,226.4313418
933,India,22,Chhattisgarh,644,Baloda Bazar,2011,Urban,32434.47482,414.1710835,120.5649856,7457.790047,117.5291766,709.5119295,690.8633885,25.69595466,21923.5283,897.7320868,77.08786397
934,India,22,Chhattisgarh,645,Gariyaband,2011,Rural,139990.9957,1984.332677,247.6367459,85219.17855,473.5990482,11852.68191,6287.830814,35.12754645,32660.64599,1097.673544,132.2888451
935,India,22,Chhattisgarh,645,Gariyaband,2011,Urban,8656.648832,110.5408257,32.17837648,1990.458297,31.36812959,189.3662731,184.3890422,6.858161174,5851.313664,239.6015802,20.57448352
936,India,22,Chhattisgarh,646,Balod,2011,Rural,150178.803,1675.710027,162.0623059,101712.5777,180.5430951,2851.372544,1789.79336,21.67938741,40927.84022,773.3499507,83.87435128
937,India,22,Chhattisgarh,646,Balod,2011,Urban,24054.59604,252.164192,36.64608364,6257.585621,105.6688043,136.4443988,288.3655416,20.45776514,16444.75214,473.8196299,38.69186015
938,India,22,Chhattisgarh,647,Mungeli,2011,Rural,150148.3363,2595.250723,288.1507856,105925.5544,697.1797212,1984.23219,1325.241127,17.04287232,36512.77589,678.5588052,124.3498462
939,India,22,Chhattisgarh,647,Mungeli,2011,Urban,13218.5332,134.5875356,28.48313648,3911.05531,19.52320944,71.77373134,145.7167082,8.299721889,8706.502577,154.3936901,38.19758369
940,India,22,Chhattisgarh,648,Surajpur,2011,Rural,159973.3595,712.6221606,283.7636416,154311.6153,100.7885163,120.4050732,76.09871198,21.30763935,4266.601118,44.98279419,35.17451576
941,India,22,Chhattisgarh,648,Surajpur,2011,Urban,14531.95464,178.3848977,14.96722601,6301.813057,5.498164657,102.3269533,279.1845831,10.38542213,7506.522024,97.74514945,35.12716308
942,India,22,Chhattisgarh,649,Balrampur,2011,Rural,151729.9402,675.9007759,269.1413151,146359.9454,95.59488905,114.2006057,72.17734911,20.20965775,4046.743374,42.66483303,33.3619747
943,India,22,Chhattisgarh,649,Balrampur,2011,Urban,6755.99159,82.93219313,6.958351821,2929.750131,2.55612924,47.57240531,129.7945625,4.828244121,3489.826449,45.44229761,16.3308257
944,India,22,Chhattisgarh,650,Bemetara,2011,Rural,142836.8786,1593.788104,154.1394222,96740.06473,171.7167247,2711.974965,1702.294145,20.61952797,38926.9646,735.5425059,79.77391149
945,India,22,Chhattisgarh,650,Bemetara,2011,Urban,14960.15525,156.8272215,22.79111649,3891.749096,65.71807377,84.85818617,179.3417468,12.7231961,10227.40289,294.6802854,24.0634361
946,India,22,Chhattisgarh,734,Gaurella Pendra Marwahi,2011,Rural,83715.2144,1446.982205,160.6584887,59058.79952,388.7125976,1106.308783,738.888274,9.502254536,20357.7005,378.3305047,69.33126458
947,India,22,Chhattisgarh,734,Gaurella Pendra Marwahi,2011,Urban,7169.63754,72.99931339,15.4490488,2121.328331,10.58924868,38.92955676,79.0356967,4.501709585,4722.344511,83.74202945,20.71809525
948,India,23,Madhya Pradesh,390,Anuppur,2011,Rural,126225,1095,255,104823,52,188,395,49,18823,277,268
949,India,23,Madhya Pradesh,390,Anuppur,2011,Urban,40550.91738,417.9427321,70.45048331,13581.71074,26.65693963,270.3775305,972.9782966,25.70490607,24643.38866,437.9354368,103.7716579
950,India,23,Madhya Pradesh,391,Ashoknagar,2011,Rural,141801,3058,197,94971,691,16494,13504,60,12393,265,168
951,India,23,Madhya Pradesh,391,Ashoknagar,2011,Urban,28903,282,32,9241,134,3293,4911,17,10652,246,95
952,India,23,Madhya Pradesh,392,Balaghat,2011,Rural,341221,3949,405,307900,294,288,234,33,27616,380,122
953,India,23,Madhya Pradesh,392,Balaghat,2011,Urban,53089,933,97,24838,80,133,350,10,25906,677,65
954,India,23,Madhya Pradesh,393,Barwani,2011,Rural,205589,70937,1091,81083,2701,669,1364,135,46901,618,90
955,India,23,Madhya Pradesh,393,Barwani,2011,Urban,37472,2291,225,10179,106,206,405,54,23245,728,33
956,India,23,Madhya Pradesh,394,Betul,2011,Rural,260878,18739,816,177434,2485,2076,5382,81,52409,1221,235
957,India,23,Madhya Pradesh,394,Betul,2011,Urban,66196,1829,185,19107,165,280,445,106,42885,1063,131
958,India,23,Madhya Pradesh,395,Bhind,2011,Rural,227645,4324,404,64336,190,3212,16264,33,136935,279,1668
959,India,23,Madhya Pradesh,395,Bhind,2011,Urban,70611,496,89,7516,77,1029,5071,62,55767,129,375
960,India,23,Madhya Pradesh,396,Bhopal,2011,Rural,91084,2324,470,58336,240,1555,2317,255,24779,684,124
